"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"2:52:52.4072074 PM","Photos.exe","6004","QueryBasicInformationFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS","CreationTime: 4/4/2025 2:41:12 PM, LastAccessTime: 4/4/2025 2:51:19 PM, LastWriteTime: 4/4/2025 2:41:12 PM, ChangeTime: 4/4/2025 2:41:12 PM, FileAttributes: ANCI"
"2:52:52.4072159 PM","Photos.exe","6004","CloseFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS",""
"2:52:52.4073440 PM","Photos.exe","6004","CreateFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"2:52:52.4073575 PM","Photos.exe","6004","QueryNetworkOpenInformationFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS","CreationTime: 4/4/2025 2:41:12 PM, LastAccessTime: 4/4/2025 2:51:19 PM, LastWriteTime: 4/4/2025 2:41:12 PM, ChangeTime: 4/4/2025 2:41:12 PM, AllocationSize: 1/1/1601 3:00:00 AM, EndOfFile: 1/1/1601 3:00:00 AM, FileAttributes: ANCI"
"2:52:52.4074514 PM","Photos.exe","6004","CloseFile","C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe\ActivationStore.dat","SUCCESS",""
"2:52:52.4075059 PM","Photos.exe","6004","RegOpenKey","HKLM\SOFTWARE\Microsoft\WindowsRuntime\ActivatableClassId\Microsoft.UI.Xaml.Hosting.XamlSourceFocusNavigationRequest","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4075359 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.Windows.Photos_2025.11030.12002.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4075511 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.WindowsAppRuntime.1.5_5001.373.1736.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4075645 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4076325 PM","Photos.exe","6004","RegOpenKey","HKCR\ActivatableClasses\Package\Microsoft.VCLibs.140.00.UWPDesktop_14.0.33728.0_x64__8wekyb3d8bbwe","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4077062 PM","Photos.exe","6004","RegOpenKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId","SUCCESS","Desired Access: Read"
"2:52:52.4077292 PM","Photos.exe","6004","RegOpenKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId\Microsoft.UI.Xaml.Hosting.XamlSourceFocusNavigationRequest","NAME NOT FOUND","Desired Access: Read"
"2:52:52.4077434 PM","Photos.exe","6004","RegCloseKey","\REGISTRY\A\{67DE3DAE-C22F-4381-B3C0-C8E52A5BF60D}\ActivatableClassId","SUCCESS",""
"2:52:52.4077651 PM","Photos.exe","6004","RegQueryKey","HKLM","SUCCESS","Query: HandleTags, HandleTags: 0x0"
"2:52:52.4077745 PM","Photos.exe","6004","RegOpenKey","HKLM\Software\Microsoft\Windows\CurrentVersion\Appx","REPARSE GLOBAL","Desired Access: Read"
"2:52:52.4077979 PM","Photos.exe","6004","RegOpenKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","Desired Access: Read"
"2:52:52.4078114 PM","Photos.exe","6004","RegSetInfoKey","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"2:52:52.4078210 PM","Photos.exe","6004","RegQueryValue","HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Appx\PackageRepositoryRoot","BUFFER OVERFLOW","Length: 12"
